time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-02-22T00:51:39.910Z,33.9388333,-117.1913333,13.87,0.8,ml,6,257,0.05297,0.04,ci,ci38113312,2018-02-22T01:32:40.751Z,"4km ENE of Moreno Valley, CA",earthquake,0.63,0.38,0.296,6,reviewed,ci,ci
2018-02-22T00:37:31.541Z,60.1725,-151.0141,56.1,1.9,ml,,,,0.66,ak,ak18481056,2018-02-22T00:42:23.865Z,"27km SE of Cohoe, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-02-22T00:30:48.010Z,35.046,-117.664,-0.82,1.56,ml,25,68,0.1145,0.13,ci,ci38113304,2018-02-22T01:08:30.608Z,"5km NNW of Boron, CA",quarry blast,0.33,31.61,0.124,24,reviewed,ci,ci
2018-02-22T00:27:21.650Z,33.8345,-117.495,2.56,1.52,ml,64,57,0.04497,0.15,ci,ci38113296,2018-02-22T00:41:59.425Z,"5km SSE of Home Gardens, CA",quarry blast,0.19,0.31,0.15,53,reviewed,ci,ci
2018-02-22T00:02:41.330Z,33.744,-117.4968333,10.68,1.07,ml,32,72,0.02328,0.19,ci,ci37184490,2018-02-22T00:31:41.081Z,"12km NE of Trabuco Canyon, CA",earthquake,0.28,0.39,0.224,12,reviewed,ci,ci
2018-02-22T00:01:30.117Z,65.0101,-147.3468,0.1,1,ml,,,,0.75,ak,ak18481030,2018-02-22T00:10:35.077Z,"25km NE of Fairbanks, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-02-21T23:49:27.290Z,33.507,-116.7978333,4.49,0.75,ml,34,31,0.07713,0.14,ci,ci37184330,2018-02-22T00:09:45.620Z,"10km NE of Aguanga, CA",earthquake,0.14,0.32,0.081,20,reviewed,ci,ci
2018-02-21T23:48:00.660Z,37.6263351,-118.8604965,7.26,0.87,md,8,102,0.007585,0.01,nc,nc72973516,2018-02-22T01:48:03.349Z,"10km E of Mammoth Lakes, CA",earthquake,0.88,1.16,0.21,8,automatic,nc,nc
2018-02-21T23:44:56.510Z,37.8553,20.3613,16.66,5,mb,,44,1.906,1.36,us,us2000d66w,2018-02-22T09:53:34.744Z,"35km W of Katastarion, Greece",earthquake,5.7,4.5,0.043,174,reviewed,us,us
2018-02-21T23:41:59.290Z,42.0321,24.9119,8.28,4.3,mb,,50,1.002,1.07,us,us2000d66r,2018-02-22T11:48:14.807Z,"4km ENE of Asenovgrad, Bulgaria",earthquake,4.8,4.7,0.092,34,reviewed,us,us
2018-02-21T23:41:30.551Z,36.7607,-117.8639,0,1,ml,12,143.46,0.365,0.1998,nn,nn00622707,2018-02-22T01:26:16.897Z,"24km NE of Lone Pine, California",earthquake,,0,0.29,10,reviewed,nn,nn
2018-02-21T23:31:21.890Z,38.8255005,-122.8041687,2.96,1.02,md,18,101,0.005069,0.04,nc,nc72973511,2018-02-22T01:21:04.190Z,"7km NW of The Geysers, CA",earthquake,0.36,0.56,0.16,5,automatic,nc,nc
2018-02-21T23:30:15.940Z,33.4936667,-116.7863333,4.45,0.67,ml,27,47,0.08244,0.1,ci,ci37184194,2018-02-22T00:38:12.070Z,"9km NE of Aguanga, CA",earthquake,0.15,0.3,0.141,18,reviewed,ci,ci
2018-02-21T23:27:49.010Z,33.0905,-116.4853333,5.58,1.63,ml,61,38,0.09469,0.17,ci,ci37184186,2018-02-22T00:35:04.840Z,"11km E of Julian, CA",earthquake,0.16,0.63,0.185,25,reviewed,ci,ci
2018-02-21T23:19:30.340Z,19.3916664,-155.2489929,1.5,1.88,ml,24,96,0.006503,0.15,hv,hv70042542,2018-02-21T23:25:06.710Z,"4km SSW of Volcano, Hawaii",earthquake,0.18,0.22,0.3,11,automatic,hv,hv
2018-02-21T23:16:25.540Z,65.5161,-166.6647,5,3.3,ml,,208,0.859,0.57,us,us2000d66y,2018-02-22T00:50:42.040Z,"86km SSW of Shishmaref, Alaska",earthquake,5.5,2,0.059,38,reviewed,us,us
2018-02-21T23:10:39.450Z,23.3971,121.6286,10,5,mwr,,172,0.304,0.47,us,us2000d669,2018-02-22T11:11:53.035Z,"64km S of Hualian, Taiwan",earthquake,2.2,2,0.066,22,reviewed,us,us
2018-02-21T22:59:07.260Z,46.3516667,-122.2935,15.75,0.83,ml,20,103,0.05231,0.2,uw,uw61370011,2018-02-22T01:25:27.200Z,"23km S of Morton, Washington",earthquake,0.79,0.72,0.144,17,reviewed,uw,uw
2018-02-21T22:57:10.170Z,37.4726667,-118.8135,6.74,2.29,md,44,101,0.1081,0.05,nc,nc72973496,2018-02-22T07:44:03.374Z,"15km SW of Toms Place, CA",earthquake,0.21,0.83,0.224,37,reviewed,nc,nc
2018-02-21T22:48:49.820Z,36.1415,-117.8525,8.53,1.62,ml,25,54,0.02395,0.13,ci,ci37184018,2018-02-22T00:15:53.700Z,"14km NE of Coso Junction, CA",earthquake,0.2,0.37,0.261,18,reviewed,ci,ci
2018-02-21T22:46:57.073Z,59.9444,-139.6359,0,1,ml,,,,0.54,ak,ak18480360,2018-02-21T22:51:36.432Z,"44km N of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-02-21T22:40:04.920Z,36.1405,-117.8495,9.41,0.65,ml,17,65,0.02328,0.14,ci,ci37184010,2018-02-22T00:33:45.841Z,"14km NE of Coso Junction, CA",earthquake,0.25,0.44,0.131,7,reviewed,ci,ci
2018-02-21T22:31:23.920Z,33.8653333,-117.4936667,-0.49,1.18,ml,32,65,0.06263,0.17,ci,ci37183858,2018-02-21T23:01:49.683Z,"3km ESE of Home Gardens, CA",quarry blast,0.32,31.61,0.097,19,reviewed,ci,ci
2018-02-21T22:24:30.160Z,36.2852,-97.5187,4.96,2.7,mb_lg,,85,0.383,0.15,us,us2000d65i,2018-02-22T07:14:33.157Z,"20km W of Perry, Oklahoma",earthquake,0.8,4.7,0.071,52,reviewed,us,us
2018-02-21T22:23:57.340Z,36.2888,-97.5168,3.49,2.4,mb_lg,,26,0.382,0.13,us,us2000d65a,2018-02-21T22:53:35.040Z,"20km W of Perry, Oklahoma",earthquake,1.1,4.3,0.088,34,reviewed,us,us
2018-02-21T22:09:17.440Z,14.3741,147.0227,10,4.8,mb,,71,1.471,1.03,us,us2000d657,2018-02-21T22:32:56.040Z,"164km ESE of JP Tinian Town pre-WW2, Northern Mariana Islands",earthquake,6,1.9,0.065,73,reviewed,us,us
2018-02-21T21:47:26.690Z,46.1831667,-122.3186667,12.39,0.08,ml,11,103,0.01759,0.28,uw,uw61370001,2018-02-22T05:01:57.320Z,"31km NNE of Amboy, Washington",earthquake,1.01,1.61,0.147,9,reviewed,uw,uw
2018-02-21T21:37:11.850Z,38.8088341,-122.8281631,1.38,0.86,md,11,85,0.0007937,0.04,nc,nc72973476,2018-02-21T23:45:03.563Z,"7km WNW of The Geysers, CA",earthquake,0.32,0.56,0.06,4,automatic,nc,nc
2018-02-21T21:21:59.880Z,45.6963333,-111.7935,2.05,2.32,ml,25,59,0.152,0.17,mb,mb80283649,2018-02-21T22:09:14.860Z,"28km SW of Three Forks, Montana",earthquake,0.27,0.85,0.322,10,reviewed,mb,mb
2018-02-21T21:21:49.660Z,37.9726667,-118.6698333,6.86,1.3,md,24,93,0.03622,0.06,nc,nc72973471,2018-02-22T03:11:03.509Z,"39km SSW of Qualeys Camp, NV",earthquake,0.26,0.46,0.179,23,reviewed,nc,nc
