,Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
96,Sao Tome and Principe,2011-01-01,96th,74.5,5.8,6.3,4.8,6.9,6.2,7.3,6.9,7.0,4.9,7.1,4.3,6.9
97,Serbia,2011-01-01,98th,74.4,6.5,8.0,7.5,5.7,6.5,5.0,6.5,4.9,5.3,5.3,6.4,6.8
98,Peru,2011-01-01,99th,73.6,7.2,6.6,6.8,5.1,8.0,6.7,6.6,6.1,5.2,6.1,4.1,5.1
99,Guyana,2011-01-01,100th,72.6,6.3,5.1,5.9,6.4,7.4,8.4,6.5,5.5,5.0,6.4,3.6,6.0
100,Paraguay,2011-01-01,101st,72.4,6.4,7.7,6.5,5.9,8.3,5.5,7.9,5.5,6.4,5.9,1.9,4.5
101,Armenia,2011-01-01,102nd,72.3,5.2,7.0,6.0,5.3,6.2,6.6,6.6,5.0,6.5,5.5,6.6,5.8
102,Micronesia,2011-01-01,103rd,71.9,5.4,5.6,4.2,6.7,7.2,8.0,6.3,6.9,2.5,7.1,3.5,8.5
103,Namibia,2011-01-01,104th,71.7,5.5,3.5,5.3,6.3,8.5,7.1,4.4,6.7,5.5,7.2,5.6,6.2
104,Suriname,2011-01-01,105th,71.1,5.8,5.8,6.1,6.1,7.5,7.0,6.1,4.9,5.6,6.0,3.5,6.7
105,Macedonia,2011-01-01,106th,71.0,6.0,6.7,7.4,6.2,6.8,6.7,6.7,4.2,5.0,4.5,4.6,6.2
106,Kazakhstan,2011-01-01,107th,70.2,6.2,7.7,6.0,6.2,5.9,3.8,7.2,5.1,6.9,5.5,3.8,5.9
107,Tunisia,2011-01-01,108th,70.1,7.0,6.8,5.6,5.0,6.6,5.2,7.2,5.3,7.7,5.5,3.4,4.8
108,Samoa,2011-01-01,109th,69.5,5.5,5.1,4.8,5.9,6.6,8.3,6.2,4.7,4.2,7.0,2.7,8.6
109,Ukraine,2011-01-01,110th,69.0,4.0,8.0,6.5,6.0,5.9,6.3,7.4,4.1,5.5,5.3,3.1,6.8
110,Libya,2011-01-01,111th,68.7,5.9,7.0,6.0,4.6,6.9,3.9,7.3,4.3,8.3,5.5,4.6,4.4
111,Malaysia,2011-01-01,111th,68.7,6.0,6.4,6.7,4.9,6.7,4.2,6.0,5.1,6.9,6.0,4.8,5.0
112,Botswana,2011-01-01,113th,67.9,4.1,3.3,4.5,6.3,7.4,5.6,5.0,6.0,5.0,8.9,6.4,5.4
113,Belize,2011-01-01,114th,67.7,5.5,4.3,4.4,5.7,6.8,7.0,6.0,5.8,3.8,6.7,5.4,6.3
114,Ghana,2011-01-01,114th,67.7,3.0,4.2,5.5,6.1,6.3,7.6,4.8,7.7,4.5,6.8,5.5,5.6
115,Cyprus,2011-01-01,116th,67.6,5.3,7.9,7.6,5.0,7.3,5.3,5.0,3.3,3.3,4.4,4.4,8.8
116,South Africa,2011-01-01,116th,67.6,4.5,5.9,5.9,5.3,8.2,4.1,5.5,5.5,4.6,8.4,6.7,3.0
117,Jamaica,2011-01-01,118th,67.1,6.3,3.7,4.3,6.3,6.2,6.7,6.5,5.9,5.3,6.2,3.4,6.3
118,Seychelles,2011-01-01,119th,67.0,6.1,5.7,4.8,5.4,6.6,4.9,6.8,4.1,5.8,5.8,3.9,7.1
119,Grenada,2011-01-01,120th,66.4,5.3,5.6,3.9,5.7,6.5,8.0,6.2,4.2,4.3,5.8,3.2,7.7
120,Albania,2011-01-01,121st,66.1,5.4,6.3,5.1,5.9,5.4,6.8,6.4,5.0,5.0,5.5,3.1,6.3
121,Brunei Darussalam,2011-01-01,122nd,65.8,5.6,7.4,6.2,3.4,7.8,4.1,7.7,3.2,6.7,5.1,3.9,4.7
122,Brazil,2011-01-01,123rd,65.1,6.5,4.9,6.5,3.9,8.5,4.5,5.9,5.8,5.1,6.1,3.5,3.9
123,Trinidad and Tobago,2011-01-01,124th,63.7,5.5,5.6,4.7,4.5,6.9,7.7,5.5,4.9,5.1,5.3,3.2,4.8
124,Antigua and Barbuda,2011-01-01,125th,59.9,4.9,3.7,4.1,5.1,5.9,7.6,5.8,4.3,4.5,5.2,3.0,5.8
125,Romania,2011-01-01,126th,59.8,4.1,5.2,6.0,5.8,5.8,5.0,5.9,4.5,4.0,5.1,3.2,5.2
126,Mongolia,2011-01-01,127th,59.6,5.0,5.5,4.0,5.3,6.2,1.9,5.9,5.6,6.0,5.5,1.6,7.1
127,Kuwait,2011-01-01,128th,59.5,4.5,7.2,4.9,4.0,5.9,4.3,5.7,2.9,6.2,5.1,3.8,5.0
128,Bahrain,2011-01-01,129th,59.0,4.8,6.6,6.8,3.4,6.0,3.1,6.9,2.7,5.9,4.5,2.9,5.3
129,Bulgaria,2011-01-01,129th,59.0,4.9,5.3,4.3,5.3,5.7,5.5,5.9,4.6,4.3,4.1,3.6,5.5
130,Panama,2011-01-01,131st,57.8,5.7,2.5,4.6,4.9,7.4,4.9,4.6,5.2,4.5,6.0,3.9,3.6
131,Croatia,2011-01-01,132nd,57.3,4.4,4.7,5.5,5.9,5.0,4.9,4.4,3.4,4.3,4.3,5.5,5.0
132,Bahamas,2011-01-01,133rd,56.5,4.3,4.5,4.4,4.8,6.2,6.2,5.2,4.2,3.2,5.8,2.8,4.9
133,Montenegro,2011-01-01,134th,56.3,4.8,6.2,6.4,5.2,4.1,2.4,4.3,3.6,5.0,4.5,4.5,5.3
134,Latvia,2011-01-01,135th,54.2,3.3,4.3,4.9,5.8,5.7,4.8,5.3,3.9,3.6,4.2,3.9,4.4
135,Barbados,2011-01-01,136th,52.8,4.2,4.2,4.4,5.0,6.3,6.8,3.9,2.9,2.5,4.3,2.9,5.4
136,Costa Rica,2011-01-01,137th,50.6,2.5,3.5,4.1,4.9,6.5,4.1,3.5,4.2,3.0,5.1,4.3,4.9
137,United Arab Emirates,2011-01-01,138th,50.4,3.0,3.6,4.6,4.2,5.4,3.0,6.5,3.3,5.7,4.1,2.8,4.1
138,Qatar,2011-01-01,139th,49.5,3.0,5.0,4.9,3.7,5.0,3.1,6.0,2.3,5.0,4.2,2.7,4.6
139,Estonia,2011-01-01,140th,49.3,2.9,5.5,5.4,4.3,4.9,4.5,4.1,2.9,3.0,4.1,3.9,3.9
140,Oman,2011-01-01,140th,49.3,5.3,6.3,3.0,3.8,3.0,1.5,5.9,4.4,6.9,5.1,1.5,2.4
141,Hungary,2011-01-01,142nd,48.7,2.5,4.7,3.5,5.4,5.5,4.5,5.4,3.7,3.0,3.1,3.1,4.3
142,Greece,2011-01-01,143rd,47.4,3.8,2.5,4.5,5.1,4.3,4.4,4.9,3.8,3.1,4.1,2.6,4.3
143,Slovak Republic,2011-01-01,144th,47.1,2.3,3.7,5.0,4.6,5.2,5.1,3.9,3.6,3.6,3.8,2.3,3.9
144,Argentina,2011-01-01,145th,46.8,2.7,3.0,4.9,4.4,6.0,3.5,4.0,3.5,4.0,4.4,2.6,3.8
145,Poland,2011-01-01,145th,46.8,2.5,3.6,3.5,4.3,4.7,5.6,4.2,3.3,3.5,4.3,3.5,3.9
146,Italy,2011-01-01,147th,45.8,4.9,4.4,5.3,4.2,4.1,3.2,4.7,2.8,3.1,3.6,3.5,2.0
147,Malta,2011-01-01,148th,45.4,3.7,2.0,4.0,4.1,4.1,4.4,3.7,2.9,3.4,3.4,5.4,4.4
148,Lithuania,2011-01-01,149th,45.3,2.5,2.8,3.7,5.3,5.7,4.6,3.6,2.9,3.1,4.1,3.2,3.8
149,Mauritius,2011-01-01,150th,44.2,3.6,3.2,3.5,4.5,5.4,3.0,4.7,3.9,3.5,3.3,1.6,4.0
150,Spain,2011-01-01,151st,43.1,4.9,5.6,6.0,4.5,4.7,1.9,2.1,2.4,2.6,3.3,2.9,2.2
151,Czech Republic,2011-01-01,152nd,42.4,2.1,3.8,3.8,4.6,3.8,4.0,3.7,3.9,3.0,3.0,2.8,3.8
