,Crime,District,Neighborhood,ILEADSStreet,CADStreet,Lon,Lat
7070,265321,4,60,BENTON ST,BENTON,-90.20177706899995,38.64778439200006
7071,71013,3,22,PESTALOZZI ST,PESTALOZZI,-90.21581692999996,38.59911492200007
7072,71013,6,69,N KINGSHIGHWAY BLVD / SAN FRAN,,-90.25107079399999,38.67742913400008
7073,265321,4,35,N BROADWAY / WASHINGTON AVE,,-90.18809768099999,38.62987282600005
7074,31111,5,58,DELMAR BLVD,DELMAR,-90.24594516499997,38.64703192400003
7075,91113,5,48,HODIAMONT AVE,HODIAMONT,-90.29470265599997,38.65575805200007
7076,265321,2,10,WALDEMAR AVE,,-90.30264920399998,38.61845468200005
7077,31111,4,35,CHESTNUT ST,,-90.19116155799998,38.62633322700003
7078,265321,1,5,CHIPPEWA ST / MORGANFORD RD,,-90.26393192999996,38.59051450000004
7079,241100,2,15,S GRAND BLVD,GRAND,-90.24275937999994,38.60161288900008
7080,266999,2,15,S GRAND BLVD,GRAND,-90.24275937999994,38.60161288900008
7081,41011,5,48,HODIAMONT AVE,HODIAMONT,-90.29238107999998,38.66527950900007
7082,91114,4,63,BRISTOL LN,BRISTOL,-90.19148450099999,38.646541264000064
7083,65701,4,36,LOCUST ST,LOCUST,-90.21221466799994,38.633954655000025
7084,41012,3,19,CHEROKEE ST,CHEROKEE,-90.23101291599994,38.593782532000034
7085,31412,2,15,CONNECTICUT ST,CONNECTICUT,-90.24845146199999,38.60035389500007
7086,91303,5,78,GOODFELLOW BLVD,,-90.28147834599997,38.66974371100008
7087,91113,5,78,GOODFELLOW BLVD,,-90.28147834599997,38.66974371100008
7088,31311,4,66,STRODTMAN PL,STRODTMAN,-90.20810834199995,38.668611576000046
7089,31421,3,21,S 12TH ST,12TH,-90.20878590299998,38.609647503000076
7090,64711,1,6,FINKMAN ST,FINKMAN,-90.29041907199996,38.57699804200007
7091,71013,4,62,N 3RD ST / CARR ST,PENNSYLVANIA,-90.18575382999995,38.634004650000065
7092,91114,1,1,GERMANIA ST,,-90.27007595099997,38.55289460000006
7093,73313,2,15,GUSTINE AVE,GUSTINE,-90.25002957799995,38.60187303200007
7094,265321,1,5,NEOSHO ST,NEOSHO,-90.26470433999998,38.584543634000056
