Index,Crime,District,Neighborhood,ILEADSStreet,Longitude,Latitude
7209,265321,2,13,HAMPTON AVE,-90.28760138,38.61060518
7210,91114,5,48,HODIAMONT AVE,-90.2893689,38.66903876
7211,91113,5,48,HODIAMONT AVE,-90.2893689,38.66903876
7212,41011,6,73,DRURY LN,-90.24723978,38.71103611
7213,265321,4,77,PAGE BLVD,-90.22729478,38.64588333
7214,51322,2,7,CHIPPEWA ST,-90.28971466,38.59268079
7215,71013,2,14,JANUARY AVE / PERNOD AVE,-90.2883911,38.59623988
7216,64711,3,30,TEXAS AVE / WYOMING ST,-90.22550487,38.59730651
7217,41013,5,52,SAINT LOUIS AVE,-90.25786425,38.6725859
7218,265321,5,51,PAGE BLVD,-90.26809837,38.66088986
7219,41011,3,33,PEABODY CT,-90.20601174,38.61736486
7220,69702,1,2,MINNESOTA AVE,-90.26124602,38.54790207
7221,142320,4,36,LUCAS AVE,-90.21055425,38.63542786
7222,41011,5,50,GOODFELLOW BLVD,-90.27850158,38.67404094
7223,41011,5,50,GOODFELLOW BLVD,-90.27850158,38.67404094
7224,52212,4,59,NATURAL BRIDGE AVE,-90.21183329,38.6586422
7225,142320,3,31,CAROLINE ST / OHIO AVE,-90.22176982,38.61964132
7226,71013,2,42,OAKLAND AVE,-90.29511728,38.63153156
7227,142320,6,74,N BROADWAY,-90.22920724,38.71653418
7228,266510,4,35,N 6TH ST,-90.18920862,38.62909869
7229,43012,5,53,AUBERT AVE,-90.26114791,38.65438455
7230,71013,3,33,GRATTAN ST / LASALLE LN,-90.20790681,38.61896498
7231,43015,3,16,KEOKUK ST,-90.24008073,38.58569152
7232,142320,2,39,CHOUTEAU AVE,-90.25329546,38.62864177
7233,51321,2,28,FOLSOM AVE,-90.25211604,38.62083537
7234,142320,6,56,FAIR AVE,-90.23126815,38.66266728
7235,142320,3,32,PARK AVE,-90.21940072,38.61861967
7236,71040,5,51,UNION BLVD,-90.27324218,38.65315374
7237,31111,4,60,N 20TH ST,-90.20449975,38.64627007
7238,265321,5,50,ARLINGTON AVE,-90.26225879,38.67977544
7239,69702,2,15,MORGANFORD RD,-90.26116454,38.60231092
7240,91113,5,53,WALTON AVE,-90.25705965,38.65549097
7241,31211,1,5,LANSDOWNE AVE,-90.27102204,38.5870028
7242,265321,5,38,DUNCAN AVE,-90.25794152,38.63589796
7243,182400,6,72,BEACON AVE,-90.25405875,38.69361427
7244,64701,3,25,MAGNOLIA AVE,-90.23948893,38.60627099
7245,71013,6,76,ALBERTINE AVE,-90.25907739,38.70952066
7246,64701,4,36,N 13TH ST / DR MARTIN LUTHER K,-90.19656769,38.6344643
7247,51112,6,72,BEACON AVE,-90.25124241,38.69453642
7248,265321,6,75,RIVERVIEW DR,-90.18230347,38.766973
7249,67701,1,17,MERAMEC ST,-90.23828411,38.57975628
7250,67701,3,21,S 12TH ST,-90.20861983,38.60926266
7251,71013,5,52,WABADA AVE,-90.26308313,38.66891433
7252,67701,3,18,KEOKUK ST,-90.22585097,38.5844124
7253,67701,5,50,ST LOUIS AVE,-90.27645404,38.68062446
7254,67701,5,48,ENRIGHT AVE,-90.28270147,38.65466821
7255,71013,6,69,N NEWSTEAD AVE / N TAYLOR AVE,-90.23097501,38.6804518
7256,265321,3,16,ALBERTA ST,-90.2437403,38.58574352
7257,265321,2,29,S 39TH ST / CHOUTEAU AVE,-90.24213504,38.62705253
7258,69702,3,31,CHOUTEAU AVE,-90.21893831,38.62203998
7259,67701,4,35,CONVENTION PZ,-90.18996386,38.63198665
7260,142320,6,56,ASHLAND AVE,-90.22938219,38.66425281
7261,265321,3,31,S GRAND BLVD / PARK AVE,-90.23828876,38.62087116
7262,250000,2,27,S GRAND BLVD,-90.24047813,38.61572468
7263,73413,2,14,POTOMAC ST,-90.27296006,38.59727639
7264,51112,3,19,VIRGINIA AVE,-90.23900677,38.5883774
7265,31112,6,76,LAURA AVE,-90.26161217,38.70193073
7266,265321,2,13,S VANDEVENTER AVE,-90.26688652,38.61314692
7267,265321,4,59,NATURAL BRIDGE AVE,-90.21774712,38.66097142
7268,266999,2,13,SUBLETTE AVE,-90.28179856,38.60389443
7269,31411,3,19,CHEROKEE ST,-90.22799257,38.59334993
7270,265321,2,39,KENTUCKY AVE,-90.25241474,38.62700609
7271,266999,2,15,MCDONALD AVE,-90.2468292,38.59667908
7272,182999,4,35,S TUCKER BLVD,-90.19849514,38.62563292
7273,65701,3,19,S JEFFERSON AVE,-90.22654919,38.59024091
7274,91113,1,16,DEWEY AVE,-90.24768778,38.58110597
7275,43015,1,16,DEWEY AVE,-90.24768778,38.58110597
7276,65701,4,63,HADLEY ST / HEBERT ST,-90.19545063,38.65355921
7277,265321,3,18,KEOKUK ST,-90.22632582,38.58447392
7278,67701,2,15,S KINGSHIGHWAY BLVD,-90.27100969,38.59419439
7279,250000,4,36,N TUCKER BLVD,-90.19666567,38.6330614
7280,250000,4,35,LOCUST ST,-90.19643306,38.63011168
7281,72130,2,39,PAPIN ST,-90.25182125,38.62969034
7282,130000,6,76,ACME AVE / W FLORISSANT AVE,-90.25577072,38.71389622
7283,67601,5,38,WATERMAN BLVD,-90.27321377,38.64950437
7284,142320,3,25,CONNECTICUT ST,-90.24193588,38.59969441
7285,65701,1,5,GOENER AVE,-90.27419618,38.57608313
7286,265321,6,70,GOODFELLOW BLVD / I 70 EASTBOU,-90.26398511,38.70045826
7287,63701,1,16,GRAVOIS AVE,-90.25587572,38.58898496
7288,64701,6,72,DAVISON AVE,-90.25473076,38.69217958
7289,265321,2,29,S GRAND BLVD,-90.23934156,38.61934128
7290,130000,5,78,HODIAMONT AVE,-90.28712687,38.67237097
7291,229999,3,21,GRAVOIS AVE,-90.20839769,38.6102781
7292,67701,4,35,N 7TH ST,-90.19047684,38.63041185
7293,250000,4,36,N TUCKER BLVD,-90.19666567,38.6330614
7294,117000,6,56,LABADIE AVE,-90.22725861,38.65930251
7295,64601,5,78,CLARA AVE,-90.27568386,38.67002655
7296,182130,3,21,S 7TH ST,-90.20327578,38.60614908
7297,41013,5,78,BELT AVE / RIDGE AVE,-90.27424094,38.66574291
7298,63701,5,52,N KINGSHIGHWAY BLVD,-90.2555324,38.67189457
7299,65601,6,69,N TAYLOR AVE,-90.23899529,38.67207027
7300,91114,5,38,LINDELL BLVD,-90.2444374,38.64014189
7301,91114,5,38,LINDELL BLVD,-90.2444374,38.64014189
7302,43016,1,7,NOTTINGHAM AVE,-90.27769884,38.58558229
7303,229999,4,35,N 8TH ST,-90.19172865,38.63025315
7304,229999,3,16,ALBERTA ST,-90.24406738,38.58526095
7305,250000,1,16,CHIPPEWA ST,-90.25906402,38.58930186
7306,91123,6,68,W CARTER AVE,-90.22750505,38.67577849
7307,91113,1,17,MINNESOTA AVE,-90.23856576,38.57356645
7308,91113,2,40,S KINGSHIGHWAY BLVD,-90.26540548,38.62612396
7309,250000,4,35,CARR ST,-90.18525001,38.63401703
7310,229999,3,16,CHIPPEWA ST,-90.24260409,38.5883634
7311,182999,3,24,GRAVOIS AVE,-90.2280807,38.60282086
7312,250000,4,36,I 64 WESTBOUND / S JEFFERSON A,-90.21775286,38.62755368
7313,265321,3,31,CHOUTEAU AVE,-90.21893831,38.62203998
7314,67701,6,74,HALLS FERRY RD,-90.23903294,38.72071927
7315,64601,4,61,N 19TH ST,-90.205026,38.63739111
7316,250000,4,36,S 14TH ST,-90.20193776,38.62403538
7317,130000,6,69,MARGARETTA AVE,-90.23799297,38.67337508
7318,250000,4,35,WASHINGTON AVE,-90.18740833,38.62948656
7319,142320,3,23,ALLEN AVE,-90.22013599,38.61143808
7320,63701,5,38,BARNES JEWISH HOSPITAL PLZ,-90.26478727,38.63502499
7321,69702,2,15,S GRAND BLVD,-90.24398077,38.59034075
7322,142320,5,52,HIGHLAND AVE,-90.25945181,38.66846483
7323,65701,6,69,SAN FRANCISCO AVE,-90.23989091,38.67314042
7324,64701,1,1,BATES ST,-90.24308585,38.56272968
7325,265321,1,5,ULENA AVE,-90.25936695,38.57432556
7326,65601,4,36,N 19TH ST / COLE ST,-90.20502777,38.63738563
7327,241100,2,9,LANSDOWNE AVE,-90.31877901,38.59241361
7328,265321,5,53,DR MARTIN LUTHER KING DR / N K,-90.26144095,38.66306222
7329,10000,6,68,LEE AVE,-90.23105564,38.67397716
7330,64701,2,14,POTOMAC ST,-90.28565113,38.59750352
7331,69602,2,10,MAGNOLIA AVE,-90.30720051,38.61434063
7332,64711,1,1,ALASKA AVE,-90.26643849,38.55213748
7333,142320,1,3,S GRAND BLVD,-90.25975644,38.56303611
7334,36111,2,41,HAMPTON AVE,-90.28737455,38.62591332
7335,229999,4,36,WASHINGTON AVE,-90.19995296,38.63212528
7336,241100,5,49,CABANNE AVE,-90.27432622,38.65809847
7337,151110,2,14,CHIPPEWA ST,-90.28358637,38.59259822
7338,69602,4,59,N GARRISON AVE,-90.21982223,38.65375742
7339,31111,3,30,CALIFORNIA AVE,-90.22944582,38.59498164
7340,31111,4,62,CARR ST,-90.19333768,38.63597437
7341,265321,2,14,OLEATHA AVE,-90.27504305,38.59626716
7342,229999,4,35,N 2ND ST,-90.18485827,38.63025681
7343,63701,5,38,LINDELL BLVD,-90.24828602,38.64049073
7344,64701,3,23,ALLEN AVE,-90.21543856,38.61013068
7345,64601,2,27,SHAW PL,-90.24208681,38.61637627
7346,265321,6,68,W FLORISSANT AVE,-90.22154173,38.67651408
7347,265321,6,56,NATURAL BRIDGE AVE,-90.22507976,38.6647645
7348,64701,2,27,BOTANICAL AVE,-90.24601898,38.60894616
7349,64701,2,14,POTOMAC ST,-90.28990778,38.5984476
7350,265321,5,55,N KINGSHIGHWAY BLVD / SAINT LO,-90.25527183,38.67147391
7351,73313,4,35,N 7TH ST,-90.19151581,38.62763847
7352,43015,5,52,LABADIE AVE,-90.2568117,38.67351458
